1,Rose Gold,,,1/1/2024 0:00
2,Gold,Silver,Rose Gold,1/1/2024 12:07
3,,Rose Gold,,1/2/2024 0:15
5,Gold,Silver,Rose Gold,1/2/2024 12:23
6,Gold,Silver,Rose Gold,1/3/2024 0:31
7,Gold,Silver,Rose Gold,1/3/2024 12:39
8,Gold,Silver,Rose Gold,1/4/2024 0:47
9,Gold,Silver,Rose Gold,1/4/2024 12:55
10,Gold,Silver,Rose Gold,1/5/2024 1:03
11,Gold,Silver,Rose Gold,1/5/2024 13:11
12,,,,1/6/2024 1:19
13,Gold,Silver,Rose Gold,1/6/2024 13:27
14,Gold,Silver,Rose Gold,1/7/2024 1:35
15,Rose Gold,,,1/7/2024 13:43
16,,,Silver,1/8/2024 1:50
17,Gold,,,1/8/2024 13:58
18,Gold,,,1/9/2024 2:06
19,Gold,,,1/9/2024 14:14
19,Rose Gold,,Silver,1/10/2024 2:22
20,,,,1/10/2024 14:30
21,,Rose Gold,,1/11/2024 2:38
22,Silver,,Rose Gold,1/11/2024 14:46
23,Rose Gold,Gold,Gold,1/12/2024 2:54
24,Silver,,,1/12/2024 15:02
25,Silver,Gold,,1/13/2024 3:10
26,Gold,Gold,Rose Gold,1/13/2024 15:18
27,,Gold,Silver,1/14/2024 3:26
28,Silver,,Silver,1/14/2024 15:34
29,Silver,Silver,Rose Gold,1/15/2024 3:41
30,Silver,Rose Gold,Gold,1/15/2024 15:49
31,Gold,,Rose Gold,1/16/2024 3:57
32,,Silver,,1/16/2024 16:05
33,Silver,Silver,Silver,1/17/2024 4:13
34,Rose Gold,Silver,Silver,1/17/2024 16:21
35,Rose Gold,Rose Gold,Gold,1/18/2024 4:29
36,Rose Gold,Silver,Rose Gold,1/18/2024 16:37
37,,,Silver,1/19/2024 4:45
38,Rose Gold,Silver,,1/19/2024 16:53
39,Rose Gold,,,1/20/2024 5:01
40,Rose Gold,Gold,Silver,1/20/2024 17:09
41,Gold,Gold,Silver,1/21/2024 5:17
42,Rose Gold,Rose Gold,Rose Gold,1/21/2024 17:25
43,,Silver,Silver,1/22/2024 5:32
44,,Rose Gold,Rose Gold,1/22/2024 17:40
45,Silver,Silver,Rose Gold,1/23/2024 5:48
46,,,Rose Gold,1/23/2024 17:56
47,Rose Gold,,Silver,1/24/2024 6:04
48,Gold,Silver,Rose Gold,1/24/2024 18:12
49,Rose Gold,Rose Gold,,1/25/2024 6:20
50,Rose Gold,,,1/25/2024 18:28
51,Gold,Gold,,1/26/2024 6:36
52,Rose Gold,Gold,Silver,1/26/2024 18:44
53,Gold,Silver,,1/27/2024 6:52
54,Gold,Silver,Silver,1/27/2024 19:00
55,,Gold,Gold,1/28/2024 7:08
56,Silver,,Rose Gold,1/28/2024 19:16
57,,Silver,Rose Gold,1/29/2024 7:23
58,,Silver,Gold,1/29/2024 19:31
59,Gold,Silver,,1/30/2024 7:39
60,Rose Gold,Gold,Gold,1/30/2024 19:47
61,Silver,Silver,Silver,1/31/2024 7:55
62,Gold,Gold,Silver,1/31/2024 20:03
63,Gold,Gold,Rose Gold,2/1/2024 8:11
64,Rose Gold,Rose Gold,Gold,2/1/2024 20:19
65,Gold,Gold,Gold,2/2/2024 8:27
66,,,Silver,2/2/2024 20:35
67,Rose Gold,Rose Gold,Rose Gold,2/3/2024 8:43
68,Gold,Silver,Rose Gold,2/3/2024 20:51
69,Silver,Rose Gold,,2/4/2024 8:59
70,Gold,Gold,Rose Gold,2/4/2024 21:07
71,Rose Gold,Rose Gold,Rose Gold,2/5/2024 9:14
72,,Silver,Silver,2/5/2024 21:22
73,Gold,Gold,Silver,2/6/2024 9:30
74,Gold,Gold,,2/6/2024 21:38
75,,Rose Gold,,2/7/2024 9:46
76,Silver,Rose Gold,,2/7/2024 21:54
